Open,Volume,date_FE,AAPL,AMZN,GOOGL,JP-MRGN,M-SOFT,NTFLX,NVDA,TSLA,VISA,Date,Company,Predicted_Close
113.602997,39122000,1229,0,0,1,0,0,0,0,0,0,6/24/22,GOOGL,113.772901
118.934998,32840000,1230,0,0,1,0,0,0,0,0,0,6/27/22,GOOGL,119.1111613
107.514503,36398000,1235,0,0,1,0,0,0,0,0,0,7/5/22,GOOGL,107.7038957
114.092003,28852000,1236,0,0,1,0,0,0,0,0,0,7/6/22,GOOGL,114.2885379
116.008003,32184000,1237,0,0,1,0,0,0,0,0,0,7/7/22,GOOGL,116.193462
118.650002,26718000,1239,0,0,1,0,0,0,0,0,0,7/11/22,GOOGL,118.8448246
116.339996,25302800,1256,0,0,1,0,0,0,0,0,0,8/3/22,GOOGL,116.5485486
118.300003,15757700,1257,0,0,1,0,0,0,0,0,0,8/4/22,GOOGL,118.528644
92.980003,11214400,2,0,0,0,1,0,0,0,0,0,8/9/17,JP-MRGN,92.84084474
92.900002,13252300,3,0,0,0,1,0,0,0,0,0,8/10/17,JP-MRGN,92.75640722
93.309998,8812700,6,0,0,0,1,0,0,0,0,0,8/15/17,JP-MRGN,93.17755766
93.040001,11085400,7,0,0,0,1,0,0,0,0,0,8/16/17,JP-MRGN,92.90288762
90.849998,11502100,10,0,0,0,1,0,0,0,0,0,8/21/17,JP-MRGN,90.71681582
91.07,9211800,11,0,0,0,1,0,0,0,0,0,8/22/17,JP-MRGN,90.94235607
90.449997,10886100,16,0,0,0,1,0,0,0,0,0,8/29/17,JP-MRGN,90.3212152
91.019997,16897300,20,0,0,0,1,0,0,0,0,0,9/5/17,JP-MRGN,90.8771015
89.389999,13219000,24,0,0,0,1,0,0,0,0,0,9/11/17,JP-MRGN,89.26035523
90.610001,12485400,26,0,0,0,1,0,0,0,0,0,9/13/17,JP-MRGN,90.48073276
92.709999,12626100,30,0,0,0,1,0,0,0,0,0,9/19/17,JP-MRGN,92.57817699
95.769997,13797200,39,0,0,0,1,0,0,0,0,0,10/2/17,JP-MRGN,95.6332752
97.550003,10231900,43,0,0,0,1,0,0,0,0,0,10/6/17,JP-MRGN,97.42027975
96.459999,10631500,45,0,0,0,1,0,0,0,0,0,10/10/17,JP-MRGN,96.3319523
97.300003,18251600,47,0,0,0,1,0,0,0,0,0,10/12/17,JP-MRGN,97.15273093
95.480003,13190600,48,0,0,0,1,0,0,0,0,0,10/13/17,JP-MRGN,95.34856816
99.279999,15326600,53,0,0,0,1,0,0,0,0,0,10/20/17,JP-MRGN,99.13855621
101.129997,8839500,59,0,0,0,1,0,0,0,0,0,10/30/17,JP-MRGN,101.0032535
101.370003,8690200,60,0,0,0,1,0,0,0,0,0,10/31/17,JP-MRGN,101.2435684
101.099998,7103500,63,0,0,0,1,0,0,0,0,0,11/3/17,JP-MRGN,100.9789886
101.339996,8121500,64,0,0,0,1,0,0,0,0,0,11/6/17,JP-MRGN,101.2164634
